indicator_id,claim_id,indicator_type,indicator_value,score,review_status,claim_type,claim_amount,status,fraud_flag,claim_month,channel
149,827,Policy-Claim Gap,1,61.3,Flagged,Accident,12846,Settled,0,2024-04,Partnership
150,4210,Policy-Claim Gap,0,32.7,Under Review,Health,16112,Settled,0,2024-09,Online
151,1469,High Claim Ratio,1,38.1,Under Review,Accident,28908,Settled,0,2024-10,Agent
152,9372,Repeat Claimant,0,93.5,Flagged,Accident,283223,Settled,0,2024-12,Agent
153,18400,Rapid Settlement,1,10.3,Under Review,Fire,16938,Rejected,1,2024-05,Agent
154,3106,Amount Rounding,1,44.5,Confirmed,Health,17063,Settled,0,2024-07,Online
155,525,High Claim Ratio,1,54.4,Flagged,Health,66651,Settled,0,2025-01,Aggregator
156,17220,Repeat Claimant,1,57.7,Confirmed,Accident,78270,Settled,0,2025-03,Bancassurance
157,15170,Policy-Claim Gap,0,94.5,Cleared,Natural Disaster,43256,Settled,0,2026-05,Online
158,13502,Rapid Settlement,1,73.9,Confirmed,Health,55596,Pending,0,2025-03,Agent
159,7894,Policy-Claim Gap,1,19.8,Cleared,Health,214397,Settled,0,2026-04,Bancassurance
160,2437,Repeat Claimant,1,40.7,Under Review,Accident,54621,Pending,0,2024-04,Aggregator
161,1631,Rapid Settlement,1,36.1,Under Review,Health,276774,Settled,0,2025-04,Bancassurance
162,16680,Amount Rounding,1,58.9,Confirmed,Health,173759,Settled,0,2024-07,Aggregator
163,6259,Policy-Claim Gap,1,98.7,Under Review,Fire,35445,Settled,0,2024-11,Online
164,3751,Rapid Settlement,0,87.5,Under Review,Fire,58409,Settled,0,2025-06,Bancassurance
165,17559,Amount Rounding,1,98.1,Confirmed,Health,39692,Settled,0,2024-06,Partnership
166,2062,High Claim Ratio,1,20.4,Flagged,Theft,20698,Settled,0,2025-10,Online
167,5761,Rapid Settlement,0,93.9,Flagged,Health,19482,Pending,0,2026-05,Agent
168,1935,Repeat Claimant,0,3.4,Flagged,Fire,8590,Settled,1,2026-03,Partnership
169,1597,Amount Rounding,0,42.1,Cleared,Health,186072,Settled,1,2024-08,Agent
170,18458,Repeat Claimant,0,27.7,Flagged,Theft,73388,Settled,0,2025-12,Partnership
171,9045,Policy-Claim Gap,0,64.8,Flagged,Health,6295,Pending,0,2025-10,Aggregator
172,3224,Amount Rounding,0,10.3,Flagged,Accident,205808,Settled,0,2025-05,Agent
173,2158,Repeat Claimant,1,49.6,Cleared,Accident,173526,Settled,0,2024-09,Partnership
174,8853,High Claim Ratio,1,80.0,Flagged,Accident,88908,Rejected,0,2025-02,Online
175,8810,High Claim Ratio,0,26.8,Flagged,Health,3640,Settled,0,2024-12,Online
176,14627,High Claim Ratio,0,77.8,Flagged,Accident,29665,Settled,0,2025-08,Aggregator
177,17298,High Claim Ratio,1,11.0,Flagged,Accident,265973,Settled,0,2024-10,Aggregator
178,12216,Policy-Claim Gap,1,95.7,Flagged,Accident,63545,Settled,0,2024-08,Online
179,11398,Repeat Claimant,1,78.2,Under Review,Accident,83362,Settled,0,2025-08,Partnership
180,9837,High Claim Ratio,0,68.0,Under Review,Fire,62604,Settled,0,2025-12,Agent
181,12821,Repeat Claimant,0,37.1,Flagged,Accident,51777,Settled,0,2024-01,Bancassurance
182,10890,Policy-Claim Gap,1,90.0,Cleared,Theft,66990,Settled,0,2026-04,Bancassurance
183,10392,Amount Rounding,1,92.2,Flagged,Accident,63866,Rejected,0,2025-10,Aggregator
184,7275,Amount Rounding,1,97.8,Flagged,Health,26625,Settled,1,2025-12,Aggregator
185,16714,Policy-Claim Gap,1,37.3,Confirmed,Theft,31949,Pending,0,2024-07,Agent
186,9376,Rapid Settlement,0,50.1,Flagged,Fire,60058,Settled,0,2024-09,Aggregator
187,15696,Policy-Claim Gap,1,73.9,Confirmed,Accident,31293,Settled,0,2025-05,Online
188,563,Policy-Claim Gap,0,44.9,Under Review,Theft,18878,Settled,0,2024-05,Agent
189,9830,Repeat Claimant,1,95.6,Under Review,Natural Disaster,32099,Settled,0,2024-04,Agent
190,10248,Amount Rounding,1,44.0,Under Review,Health,47934,Rejected,0,2026-04,Aggregator
191,96,Policy-Claim Gap,0,99.9,Cleared,Health,100738,Settled,0,2025-10,Agent
192,8289,Repeat Claimant,0,23.9,Under Review,Health,27349,Settled,0,2025-06,Agent
193,11295,Policy-Claim Gap,1,83.0,Confirmed,Accident,35314,Settled,0,2024-05,Bancassurance
194,17325,High Claim Ratio,0,36.2,Flagged,Fire,291077,Pending,0,2025-11,Agent
195,10400,Repeat Claimant,1,13.9,Cleared,Accident,54044,Pending,0,2026-05,Agent
196,5507,Repeat Claimant,1,27.3,Under Review,Accident,13946,Settled,0,2026-04,Aggregator
197,10615,High Claim Ratio,0,56.7,Flagged,Theft,126009,Settled,0,2026-06,Online
198,3647,Amount Rounding,0,31.3,Under Review,Health,38854,Settled,0,2024-06,Partnership
199,12679,Policy-Claim Gap,1,34.2,Under Review,Natural Disaster,5237,Settled,0,2024-07,Agent
200,17009,High Claim Ratio,0,42.2,Flagged,Health,251672,Settled,0,2025-04,Agent
201,16583,High Claim Ratio,1,80.6,Confirmed,Health,68647,Settled,1,2024-04,Agent
202,15512,Policy-Claim Gap,1,56.4,Flagged,Fire,50533,Pending,0,2026-03,Bancassurance
203,8036,Repeat Claimant,1,26.3,Under Review,Accident,70400,Settled,0,2024-06,Online
204,7948,High Claim Ratio,1,77.4,Flagged,Natural Disaster,38389,Settled,0,2024-08,Online
205,18633,Policy-Claim Gap,0,18.9,Flagged,Accident,166610,Settled,0,2025-09,Online
206,10916,Policy-Claim Gap,0,73.0,Confirmed,Health,12483,Settled,0,2025-02,Agent
207,11769,High Claim Ratio,0,99.9,Confirmed,Health,66979,Settled,0,2024-10,Aggregator
208,9106,Repeat Claimant,1,42.7,Cleared,Theft,81832,Pending,0,2026-04,Online
209,13938,Amount Rounding,0,22.7,Flagged,Natural Disaster,127143,Settled,0,2025-08,Online
210,4252,Rapid Settlement,0,73.4,Confirmed,Theft,24402,Settled,1,2024-11,Agent
211,8825,High Claim Ratio,1,90.5,Flagged,Theft,179108,Settled,0,2025-04,Agent
212,16197,High Claim Ratio,1,59.1,Under Review,Health,26682,Settled,0,2026-05,Agent
213,13016,Amount Rounding,0,6.4,Cleared,Health,131259,Settled,0,2025-08,Aggregator
214,18282,High Claim Ratio,1,38.6,Under Review,Accident,53064,Settled,0,2025-02,Agent
215,635,Amount Rounding,1,10.7,Cleared,Health,13166,Settled,1,2024-11,Aggregator
216,2479,High Claim Ratio,1,16.5,Flagged,Accident,55663,Settled,0,2026-01,Online
217,17747,Amount Rounding,0,50.2,Under Review,Health,19691,Rejected,0,2025-06,Aggregator
218,18197,Policy-Claim Gap,0,41.7,Flagged,Fire,26079,Pending,0,2024-05,Bancassurance
219,14412,Rapid Settlement,1,0.8,Confirmed,Health,45928,Settled,0,2024-10,Agent
220,19190,Rapid Settlement,1,64.1,Confirmed,Accident,11269,Settled,0,2025-11,Bancassurance
221,17017,Rapid Settlement,0,77.2,Flagged,Accident,30255,Settled,1,2026-05,Aggregator
222,15057,Repeat Claimant,0,65.6,Flagged,Natural Disaster,77302,Settled,0,2025-10,Agent
223,17079,Amount Rounding,0,46.1,Flagged,Accident,18941,Settled,0,2025-09,Online
224,1194,Repeat Claimant,0,81.5,Confirmed,Theft,78422,Settled,0,2026-02,Aggregator
225,4150,High Claim Ratio,1,42.0,Confirmed,Fire,45079,Settled,0,2025-10,Agent
226,14829,Policy-Claim Gap,1,49.7,Flagged,Accident,9160,Settled,0,2024-02,Agent
227,12235,High Claim Ratio,1,87.0,Flagged,Natural Disaster,6375,Settled,0,2024-03,Agent
228,8086,Rapid Settlement,0,19.1,Cleared,Accident,45045,Settled,0,2026-03,Online
229,5604,Policy-Claim Gap,0,1.4,Under Review,Accident,57030,Settled,0,2025-09,Partnership
230,17880,High Claim Ratio,0,24.4,Cleared,Fire,29430,Pending,0,2026-05,Online
231,9337,Policy-Claim Gap,1,7.8,Flagged,Natural Disaster,17212,Settled,0,2024-08,Bancassurance
232,15413,Policy-Claim Gap,0,68.1,Flagged,Health,125658,Settled,0,2024-04,Agent
233,14058,Amount Rounding,0,72.8,Flagged,Accident,131463,Settled,0,2024-05,Agent
234,4756,Amount Rounding,1,86.8,Flagged,Theft,64971,Settled,0,2024-01,Online
235,7503,High Claim Ratio,0,0.1,Flagged,Theft,19065,Settled,0,2025-07,Aggregator
236,17643,Repeat Claimant,0,98.8,Confirmed,Accident,54431,Settled,0,2026-02,Agent
237,1769,Rapid Settlement,0,62.4,Under Review,Natural Disaster,172520,Pending,0,2024-03,Online
238,16105,Amount Rounding,0,35.2,Under Review,Health,383169,Pending,0,2025-06,Aggregator
239,7810,Rapid Settlement,0,39.3,Under Review,Fire,66089,Settled,0,2024-11,Bancassurance
240,2446,High Claim Ratio,1,49.6,Under Review,Health,55743,Settled,0,2025-06,Aggregator
241,6472,High Claim Ratio,0,96.4,Flagged,Accident,49361,Settled,1,2024-07,Aggregator
242,19427,Amount Rounding,1,8.7,Under Review,Accident,108847,Settled,0,2025-10,Agent
243,7091,High Claim Ratio,0,8.6,Under Review,Health,419941,Settled,0,2025-12,Agent
244,14412,Amount Rounding,1,1.2,Confirmed,Health,45928,Settled,0,2024-10,Agent
245,12429,Rapid Settlement,1,16.7,Flagged,Accident,96851,Pending,0,2024-03,Agent
246,11385,Policy-Claim Gap,1,85.9,Flagged,Natural Disaster,59835,Settled,0,2025-02,Bancassurance
247,9575,Amount Rounding,1,59.9,Flagged,Accident,52547,Settled,0,2024-04,Aggregator
248,1643,Repeat Claimant,1,0.9,Under Review,Accident,84911,Settled,0,2025-03,Online
249,5284,Rapid Settlement,0,49.9,Under Review,Natural Disaster,131614,Settled,0,2025-07,Aggregator
250,14047,Policy-Claim Gap,0,64.9,Flagged,Health,33610,Settled,0,2026-05,Partnership
251,18910,Rapid Settlement,0,91.1,Flagged,Fire,42982,Settled,0,2026-03,Aggregator
252,3492,Amount Rounding,1,28.5,Confirmed,Health,7605,Settled,0,2025-03,Agent
253,19476,High Claim Ratio,1,0.7,Cleared,Accident,61944,Rejected,0,2026-06,Online
254,19218,Repeat Claimant,0,95.1,Cleared,Theft,157800,Settled,0,2025-01,Online
255,7409,Policy-Claim Gap,0,5.1,Cleared,Accident,35225,Settled,0,2024-08,Bancassurance
256,1716,Amount Rounding,1,40.4,Cleared,Theft,85431,Pending,0,2025-12,Bancassurance
257,14820,Rapid Settlement,1,75.0,Confirmed,Accident,34893,Settled,0,2026-03,Agent
258,18721,Policy-Claim Gap,0,70.4,Under Review,Natural Disaster,18746,Settled,0,2024-02,Bancassurance
259,6999,Policy-Claim Gap,0,91.8,Confirmed,Theft,13486,Rejected,0,2024-08,Bancassurance
260,16760,Amount Rounding,0,28.7,Flagged,Accident,433408,Settled,0,2025-10,Aggregator
261,10732,Repeat Claimant,1,95.4,Flagged,Health,57129,Pending,0,2024-07,Online
262,4279,Amount Rounding,1,28.4,Under Review,Theft,60354,Settled,0,2026-02,Online
263,8170,Amount Rounding,0,44.4,Cleared,Natural Disaster,57753,Settled,0,2025-08,Partnership
264,7483,Amount Rounding,0,89.8,Flagged,Accident,61906,Settled,0,2024-05,Online
265,7248,Amount Rounding,0,73.4,Flagged,Theft,12666,Settled,0,2025-08,Online
266,14153,Amount Rounding,1,21.2,Under Review,Natural Disaster,48836,Settled,0,2025-07,Agent
267,7905,Repeat Claimant,0,76.2,Flagged,Health,280206,Settled,0,2025-06,Agent
268,12363,High Claim Ratio,1,5.0,Under Review,Health,33260,Settled,0,2026-04,Agent
269,9135,High Claim Ratio,1,11.6,Under Review,Theft,20002,Settled,0,2026-05,Agent
270,14509,Repeat Claimant,1,14.3,Under Review,Fire,76444,Settled,0,2024-04,Agent
271,2391,Rapid Settlement,1,46.0,Confirmed,Accident,72768,Pending,0,2024-12,Agent
272,9098,Amount Rounding,1,29.3,Flagged,Accident,112742,Settled,0,2025-01,Aggregator
273,18190,Rapid Settlement,1,28.4,Flagged,Accident,40129,Settled,0,2024-06,Bancassurance
274,7622,Rapid Settlement,0,12.8,Flagged,Fire,22137,Settled,0,2025-08,Agent
275,3788,Repeat Claimant,0,63.5,Confirmed,Theft,506668,Settled,0,2025-10,Agent
276,3136,Policy-Claim Gap,1,36.8,Flagged,Health,100146,Pending,0,2024-05,Online
277,3781,Rapid Settlement,0,5.9,Under Review,Health,44947,Settled,0,2025-12,Online
278,12286,Rapid Settlement,1,33.0,Under Review,Accident,27781,Settled,0,2026-02,Online
279,11246,Policy-Claim Gap,0,67.4,Cleared,Theft,67500,Rejected,0,2025-12,Aggregator
280,4793,Policy-Claim Gap,0,9.8,Flagged,Accident,16342,Settled,0,2025-03,Online
281,14653,Rapid Settlement,1,52.1,Under Review,Health,26511,Settled,0,2024-07,Online
282,3997,Amount Rounding,1,34.0,Under Review,Accident,525586,Settled,0,2024-10,Aggregator
283,5056,Rapid Settlement,1,84.5,Flagged,Fire,118091,Settled,0,2024-12,Agent
284,944,High Claim Ratio,1,72.8,Cleared,Accident,50307,Settled,0,2024-08,Agent
285,13164,High Claim Ratio,1,30.1,Flagged,Accident,161790,Settled,0,2024-01,Partnership
286,9173,Repeat Claimant,0,77.9,Under Review,Accident,124086,Settled,0,2024-01,Aggregator
287,2209,Repeat Claimant,1,46.5,Flagged,Accident,35295,Settled,0,2026-04,Online
